date,open,high,low,close,volume
1994-01-03,1.643,2.012,1.643,1.786,26803.0
1994-01-04,1.777,1.811,1.71,1.71,12876.0
1994-01-05,1.668,1.702,1.643,1.702,13919.0
1994-01-06,1.702,1.744,1.651,1.744,21882.0
1994-01-07,1.769,1.769,1.677,1.702,17707.0
1994-01-10,1.651,1.66,1.542,1.626,20372.0
1994-01-11,1.609,1.635,1.576,1.576,7446.0
1994-01-12,1.542,1.576,1.526,1.542,8191.0
1994-01-13,1.526,1.526,1.501,1.526,7085.0
1994-01-14,1.509,1.526,1.408,1.459,7625.0
1994-01-17,1.475,1.526,1.442,1.45,8786.0
1994-01-18,1.442,1.542,1.433,1.517,6490.0
1994-01-19,1.526,1.526,1.442,1.467,4694.0
1994-01-20,1.433,1.467,1.433,1.45,2818.0
1994-01-21,1.433,1.475,1.425,1.442,3422.0
1994-01-24,1.45,1.501,1.425,1.425,2745.0
1994-01-25,1.425,1.433,1.358,1.366,4779.0
1994-01-26,1.35,1.366,1.341,1.341,3732.0
1994-01-27,1.341,1.375,1.308,1.375,3095.0
1994-01-28,1.383,1.383,1.308,1.308,3411.0
1994-01-31,1.257,1.257,1.174,1.182,5636.0
1994-02-01,1.165,1.257,1.165,1.174,8185.0
1994-02-02,1.157,1.232,1.157,1.216,4923.0
1994-02-03,1.224,1.366,1.216,1.366,17529.0
1994-02-04,1.375,1.492,1.358,1.492,23472.0
1994-02-14,1.492,1.492,1.324,1.324,13436.0
1994-02-15,1.308,1.392,1.274,1.358,12938.0
1994-02-16,1.358,1.375,1.299,1.316,9667.0
1994-02-17,1.299,1.316,1.283,1.291,5002.0
1994-02-18,1.283,1.316,1.274,1.308,2259.0
1994-02-21,1.299,1.299,1.249,1.249,3628.0
1994-02-22,1.299,1.593,1.291,1.383,24281.0
1994-02-23,1.392,1.417,1.358,1.383,11520.0
1994-02-24,1.417,1.526,1.392,1.509,24252.0
1994-02-25,1.542,1.584,1.509,1.517,49280.0
1994-02-28,1.526,1.551,1.467,1.492,17558.0
1994-03-01,1.484,1.517,1.467,1.475,9125.0
1994-03-02,1.484,1.492,1.442,1.467,5936.0
1994-03-03,1.425,1.492,1.408,1.442,10459.0
1994-03-04,1.417,1.459,1.4,1.417,10636.0
1994-03-07,1.417,1.442,1.392,1.425,8417.0
1994-03-08,1.417,1.442,1.4,1.425,5228.0
1994-03-09,1.425,1.442,1.408,1.417,2975.0
1994-03-10,1.417,1.442,1.392,1.4,5369.0
1994-03-11,1.383,1.475,1.375,1.433,9306.0
1994-03-14,1.484,1.534,1.475,1.509,19667.0
1994-03-15,1.534,1.534,1.433,1.442,11088.0
1994-03-16,1.442,1.467,1.425,1.442,6260.0
1994-03-17,1.425,1.467,1.425,1.45,4801.0
1994-03-18,1.467,1.475,1.425,1.442,5214.0
1994-03-21,1.45,1.459,1.392,1.4,4360.0
1994-03-22,1.375,1.4,1.375,1.375,3001.0
1994-03-23,1.375,1.375,1.324,1.324,3569.0
1994-03-24,1.308,1.358,1.299,1.316,3501.0
1994-03-25,1.316,1.358,1.308,1.324,3066.0
1994-03-28,1.316,1.316,1.274,1.274,2734.0
1994-03-29,1.274,1.333,1.257,1.333,3749.0
1994-03-30,1.341,1.383,1.266,1.341,16671.0
1994-03-31,1.324,1.333,1.274,1.283,5046.0
1994-04-01,1.274,1.299,1.257,1.257,4473.0
1994-04-04,1.241,1.299,1.232,1.266,3062.0
1994-04-05,1.257,1.299,1.257,1.274,3892.0
1994-04-06,1.283,1.299,1.266,1.291,3459.0
1994-04-07,1.291,1.316,1.266,1.274,5203.0
1994-04-08,1.257,1.266,1.19,1.207,4273.0
1994-04-11,1.174,1.207,1.157,1.157,3480.0
1994-04-12,1.157,1.224,1.14,1.165,5756.0
1994-04-13,1.174,1.19,1.132,1.132,3744.0
1994-04-14,1.107,1.132,1.065,1.073,4010.0
1994-04-15,1.056,1.14,0.989,1.115,12752.0
1994-04-18,1.09,1.09,1.014,1.023,9357.0
1994-04-19,1.014,1.031,0.93,0.939,6773.0
1994-04-20,0.922,0.956,0.872,0.889,10685.0
1994-04-21,0.889,0.972,0.889,0.947,16350.0
1994-04-22,0.956,0.956,0.88,0.889,9895.0
1994-04-25,0.88,0.905,0.863,0.905,3974.0
1994-04-26,0.922,0.947,0.897,0.947,8106.0
1994-04-27,0.956,1.039,0.932,1.039,17399.0
1994-04-28,1.056,1.093,0.972,0.999,32681.0
1994-04-29,0.972,1.039,0.939,1.039,16403.0
1994-05-03,0.925,0.989,0.855,0.986,41072.0
1994-05-04,1.006,1.006,0.889,0.914,25556.0
1994-05-05,0.872,0.88,0.823,0.838,7480.0
1994-05-06,0.823,0.838,0.763,0.791,14524.0
1994-05-09,0.805,0.813,0.754,0.778,17802.0
1994-05-10,0.78,0.806,0.768,0.806,19029.0
1994-05-11,0.827,0.947,0.813,0.838,50636.0
1994-05-12,0.838,0.91,0.838,0.872,32692.0
1994-05-13,0.889,0.909,0.863,0.907,19991.0
1994-05-16,0.922,0.922,0.88,0.889,18425.0
1994-05-17,0.88,0.88,0.838,0.85,7600.0
1994-05-18,0.922,0.922,0.855,0.867,11092.0
1994-05-19,0.86,0.889,0.843,0.882,6050.0
1994-05-20,0.872,0.875,0.855,0.855,4182.0
1994-05-23,0.847,0.855,0.838,0.845,2333.0
1994-05-24,0.838,0.863,0.838,0.852,1983.0
1994-05-25,0.852,0.855,0.822,0.828,2396.0
1994-05-26,0.822,0.825,0.791,0.793,2726.0
1994-05-27,0.771,0.803,0.771,0.783,3702.0
1994-05-30,0.771,0.796,0.729,0.733,4078.0
1994-05-31,0.733,0.761,0.721,0.746,4077.0
1994-06-01,0.738,0.761,0.714,0.714,4338.0
1994-06-02,0.704,0.718,0.704,0.706,1624.0
1994-06-03,0.716,0.728,0.708,0.711,2493.0
1994-06-06,0.654,0.696,0.319,0.664,2786.0
1994-06-07,0.662,0.662,0.642,0.649,1021.0
1994-06-08,0.649,0.654,0.622,0.645,5243.0
1994-06-09,0.645,0.654,0.624,0.627,2403.0
1994-06-10,0.622,0.644,0.617,0.62,2838.0
1994-06-13,0.62,0.62,0.582,0.585,3076.0
1994-06-14,0.585,0.585,0.553,0.557,3408.0
1994-06-15,0.557,0.578,0.557,0.565,1407.0
1994-06-16,0.565,0.604,0.555,0.588,4075.0
1994-06-17,0.595,0.615,0.568,0.614,7809.0
1994-06-20,0.614,0.614,0.565,0.567,5133.0
1994-06-21,0.56,0.567,0.553,0.565,2044.0
1994-06-22,0.565,0.587,0.565,0.573,1828.0
1994-06-23,0.583,0.583,0.563,0.563,845.0
1994-06-24,0.563,0.563,0.55,0.555,1628.0
1994-06-27,0.553,0.553,0.526,0.526,2002.0
1994-06-28,0.511,0.535,0.511,0.518,1372.0
1994-06-29,0.528,0.528,0.511,0.511,1306.0
1994-06-30,0.503,0.523,0.503,0.52,1542.0
1994-07-01,0.528,0.531,0.503,0.505,1193.0
1994-07-04,0.495,0.501,0.481,0.486,1153.0
1994-07-08,0.474,0.49,0.463,0.486,3326.0
1994-07-11,0.486,0.488,0.469,0.469,1693.0
1994-07-12,0.466,0.469,0.466,0.466,723.0
1994-07-13,0.466,0.478,0.463,0.474,573.0
1994-07-14,0.476,0.485,0.466,0.469,773.0
1994-07-15,0.468,0.468,0.436,0.438,908.0
1994-07-18,0.436,0.436,0.396,0.397,2338.0
1994-07-19,0.394,0.409,0.369,0.381,2547.0
1994-07-20,0.389,0.389,0.372,0.372,3314.0
1994-07-21,0.369,0.372,0.36,0.362,2689.0
1994-07-22,0.36,0.369,0.352,0.355,2739.0
1994-07-25,0.352,0.377,0.352,0.377,4813.0
1994-07-26,0.384,0.406,0.377,0.404,11768.0
1994-07-27,0.407,0.414,0.387,0.387,10410.0
1994-07-28,0.382,0.386,0.36,0.364,6122.0
1994-07-29,0.352,0.364,0.349,0.36,4551.0
1994-08-01,0.483,0.538,0.419,0.538,28191.0
1994-08-02,0.54,0.629,0.503,0.528,39576.0
1994-08-03,0.511,0.671,0.511,0.671,35192.0
1994-08-04,0.746,0.746,0.674,0.726,61083.0
1994-08-05,0.704,0.827,0.704,0.827,54386.0
1994-08-08,0.83,0.88,0.771,0.822,51232.0
1994-08-09,0.822,0.83,0.786,0.788,25395.0
1994-08-10,0.754,0.972,0.754,0.952,57326.0
1994-08-11,0.972,1.016,0.905,0.934,83530.0
1994-08-12,0.922,1.033,0.922,1.008,64192.0
1994-08-15,0.972,1.006,0.956,0.981,23924.0
1994-08-16,0.977,1.016,0.976,0.998,24151.0
1994-08-17,1.006,1.008,0.981,1.004,18269.0
1994-08-18,1.006,1.029,0.972,1.009,34188.0
1994-08-19,1.006,1.006,0.954,0.962,24482.0
1994-08-22,0.956,0.956,0.905,0.936,10841.0
1994-08-23,0.939,0.964,0.912,0.964,8009.0
1994-08-24,0.971,0.981,0.942,0.949,18978.0
1994-08-25,0.922,0.972,0.914,0.952,9374.0
1994-08-26,0.952,0.957,0.905,0.939,13335.0
