,绩效指标,绩效指标值,普通交易指标,普通交易指标值,多空交易指标,多空交易指标值
0,calmar_ratio,0.02,total_trade_num,21.0,long_num,21.0
1,average_drawdown_len,19.0,total_trade_opened,0.0,long_win_num,10.0
2,average_drawdown_rate,4.41,total_trade_closed,21.0,long_lost_num,11.0
3,average_drawdown_money,71672.51,total_trade_len,762.0,long_total_pnl,551767.39
4,max_drawdown_len,1233.0,long_trade_len,762.0,long_average_pnl,26274.6376
5,max_drawdown_rate,19.57,short_trade_len,0.0,long_win_total_pnl,899354.792
6,max_drawdown_money,308575.58,longest_win_num,4.0,long_win_max_pnl,189837.378
7,average_rate,0.06,longest_lost_num,3.0,long_lost_total_pnl,-347587.402
8,stddev_rate,0.11,net_total_pnl,551767.39,long_lost_max_pnl,-69410.95
9,positive_year,4.0,net_average_pnl,26274.6376,short_num,0.0
10,negative_year,4.0,win_num,10.0,short_win_num,0.0
11,nochange_year,0.0,win_total_pnl,899354.792,short_lost_num,0.0
12,best_year,26.82,win_average_pnl,89935.4792,short_total_pnl,0.0
13,worst_year,-6.78,win_max_pnl,189837.378,short_average_pnl,0.0
14,sqn_ratio,1.46,lost_num,11.0,short_win_total_pnl,0.0
15,vwr_ratio,2.97,lost_total_pnl,-347587.402,short_win_max_pnl,0.0
16,sharpe_info,0.49,lost_average_pnl,-31598.8547,short_lost_total_pnl,0.0
17,omega,0.0,lost_max_pnl,-69410.95,short_lost_max_pnl,0.0
