,0,total_position_value
2014-01-30,0.0,0.0
2014-02-07,0.0,0.0
2014-02-10,0.0,0.0
2014-02-11,0.0,0.0
2014-02-12,0.0,0.0
2014-02-13,0.0,0.0
2014-02-14,0.0,0.0
2014-02-17,0.0,0.0
2014-02-18,0.0,0.0
2014-02-19,0.0,0.0
2014-02-20,0.0,0.0
2014-02-21,0.0,0.0
2014-02-24,0.0,0.0
2014-02-25,0.0,0.0
2014-02-26,0.0,0.0
2014-02-27,0.0,0.0
2014-02-28,0.0,0.0
2014-03-03,0.0,0.0
2014-03-04,0.0,0.0
2014-03-05,0.0,0.0
2014-03-06,0.0,0.0
2014-03-07,0.0,0.0
2014-03-10,0.0,0.0
2014-03-11,0.0,0.0
2014-03-12,0.0,0.0
2014-03-13,0.0,0.0
2014-03-14,0.0,0.0
2014-03-17,0.0,0.0
2014-03-18,0.0,0.0
2014-03-19,0.0,0.0
2014-03-20,0.0,0.0
2014-03-21,0.0,0.0
2014-03-24,0.0,0.0
2014-03-25,0.0,0.0
2014-03-26,0.0,0.0
2014-03-27,0.0,0.0
2014-03-28,0.0,0.0
2014-03-31,0.0,0.0
2014-04-01,0.0,0.0
2014-04-02,0.0,0.0
2014-04-03,0.0,0.0
2014-04-04,0.0,0.0
2014-04-08,0.0,0.0
2014-04-09,631571.9999999999,631571.9999999999
2014-04-10,640290.0,640290.0
2014-04-11,639162.0,639162.0
2014-04-14,639462.0,639462.0
2014-04-15,630480.0,630480.0
2014-04-16,631536.0,631536.0
2014-04-17,629667.0,629667.0
2014-04-18,629325.0,629325.0
2014-04-21,619749.0,619749.0
2014-04-22,621849.0,621849.0
2014-04-23,619908.0,619908.0
2014-04-24,617109.0000000001,617109.0000000001
2014-04-25,610956.0,610956.0
2014-04-28,0.0,0.0
2014-04-29,0.0,0.0
2014-04-30,0.0,0.0
2014-05-05,0.0,0.0
2014-05-06,0.0,0.0
2014-05-07,0.0,0.0
2014-05-08,0.0,0.0
2014-05-09,0.0,0.0
2014-05-12,0.0,0.0
2014-05-13,0.0,0.0
2014-05-14,0.0,0.0
2014-05-15,0.0,0.0
2014-05-16,0.0,0.0
2014-05-19,0.0,0.0
2014-05-20,0.0,0.0
2014-05-21,0.0,0.0
2014-05-22,0.0,0.0
2014-05-23,0.0,0.0
2014-05-26,0.0,0.0
2014-05-27,0.0,0.0
2014-05-28,0.0,0.0
2014-05-29,0.0,0.0
2014-05-30,0.0,0.0
2014-06-03,0.0,0.0
2014-06-04,0.0,0.0
2014-06-05,0.0,0.0
2014-06-06,0.0,0.0
2014-06-09,0.0,0.0
2014-06-10,0.0,0.0
2014-06-11,0.0,0.0
2014-06-12,0.0,0.0
2014-06-13,0.0,0.0
2014-06-16,0.0,0.0
2014-06-17,0.0,0.0
2014-06-18,0.0,0.0
2014-06-19,0.0,0.0
2014-06-20,0.0,0.0
2014-06-23,0.0,0.0
2014-06-24,0.0,0.0
2014-06-25,0.0,0.0
2014-06-26,0.0,0.0
2014-06-27,0.0,0.0
2014-06-30,0.0,0.0
2014-07-01,0.0,0.0
2014-07-02,0.0,0.0
2014-07-03,0.0,0.0
2014-07-04,0.0,0.0
2014-07-07,0.0,0.0
2014-07-08,0.0,0.0
2014-07-09,0.0,0.0
2014-07-10,0.0,0.0
2014-07-11,0.0,0.0
2014-07-14,0.0,0.0
2014-07-15,0.0,0.0
2014-07-16,0.0,0.0
2014-07-17,0.0,0.0
2014-07-18,0.0,0.0
2014-07-21,0.0,0.0
2014-07-22,0.0,0.0
2014-07-23,0.0,0.0
2014-07-24,0.0,0.0
2014-07-25,0.0,0.0
2014-07-28,0.0,0.0
2014-07-29,873276.0,873276.0
2014-07-30,872495.9999999999,872495.9999999999
2014-07-31,880624.0,880624.0
2014-08-01,874120.0000000001,874120.0000000001
2014-08-04,889332.0,889332.0
2014-08-05,887979.9999999999,887979.9999999999
2014-08-06,886987.9999999999,886987.9999999999
2014-08-07,875068.0,875068.0
2014-08-08,877771.9999999999,877771.9999999999
2014-08-11,889860.0,889860.0
2014-08-12,888636.0,888636.0
2014-08-13,889152.0,889152.0
2014-08-14,882587.9999999999,882587.9999999999
2014-08-15,890692.0,890692.0
2014-08-18,895787.9999999999,895787.9999999999
2014-08-19,898132.0,898132.0
2014-08-20,896084.0,896084.0
2014-08-21,892184.0,892184.0
2014-08-22,896324.0,896324.0
2014-08-25,891708.0,891708.0
2014-08-26,882844.0,882844.0
2014-08-27,883787.9999999999,883787.9999999999
2014-08-28,878328.0000000001,878328.0000000001
2014-08-29,886879.9999999999,886879.9999999999
2014-09-01,894204.0000000001,894204.0000000001
2014-09-02,906420.0000000001,906420.0000000001
2014-09-03,915452.0,915452.0
2014-09-04,922744.0,922744.0
2014-09-05,930571.9999999999,930571.9999999999
2014-09-09,930612.0000000001,930612.0000000001
2014-09-10,927320.0000000001,927320.0000000001
2014-09-11,924671.9999999999,924671.9999999999
2014-09-12,932779.9999999999,932779.9999999999
2014-09-15,935656.0,935656.0
2014-09-16,918620.0000000001,918620.0000000001
2014-09-17,923156.0,923156.0
2014-09-18,926371.9999999999,926371.9999999999
2014-09-19,931779.9999999999,931779.9999999999
2014-09-22,915948.0,915948.0
2014-09-23,923887.9999999999,923887.9999999999
2014-09-24,937428.0000000001,937428.0000000001
2014-09-25,938040.0,938040.0
2014-09-26,939087.9999999999,939087.9999999999
2014-09-29,943084.0,943084.0
2014-09-30,945548.0,945548.0
2014-10-08,953116.0,953116.0
2014-10-09,955748.0,955748.0
2014-10-10,949816.0,949816.0
2014-10-13,946404.0000000001,946404.0000000001
2014-10-14,943792.0,943792.0
2014-10-15,949468.0,949468.0
2014-10-16,942600.0,942600.0
2014-10-17,936471.9999999999,936471.9999999999
2014-10-20,942692.0,942692.0
2014-10-21,935864.0,935864.0
2014-10-22,930620.0000000001,930620.0000000001
2014-10-23,920968.0,920968.0
2014-10-24,0.0,0.0
2014-10-27,0.0,0.0
2014-10-28,0.0,0.0
2014-10-29,0.0,0.0
2014-10-30,0.0,0.0
2014-10-31,0.0,0.0
2014-11-03,729009.0000000001,729009.0000000001
2014-11-04,729204.0,729204.0
2014-11-05,725775.0,725775.0
2014-11-06,727758.0,727758.0
2014-11-07,725451.0,725451.0
2014-11-10,742101.0,742101.0
2014-11-11,740901.0,740901.0
2014-11-12,748344.0,748344.0
2014-11-13,745683.0,745683.0
2014-11-14,743646.0,743646.0
