,total_value
2014-01-30,1000000.0
2014-02-07,1000000.0
2014-02-10,1000000.0
2014-02-11,1000000.0
2014-02-12,1000000.0
2014-02-13,1000000.0
2014-02-14,1000000.0
2014-02-17,1000000.0
2014-02-18,1000000.0
2014-02-19,1000000.0
2014-02-20,1000000.0
2014-02-21,1000000.0
2014-02-24,1000000.0
2014-02-25,1000000.0
2014-02-26,1000000.0
2014-02-27,1000000.0
2014-02-28,1000000.0
2014-03-03,1000000.0
2014-03-04,1000000.0
2014-03-05,1000000.0
2014-03-06,1000000.0
2014-03-07,1000000.0
2014-03-10,1000000.0
2014-03-11,1000000.0
2014-03-12,1000000.0
2014-03-13,1000000.0
2014-03-14,1000000.0
2014-03-17,1000000.0
2014-03-18,1000000.0
2014-03-19,1000000.0
2014-03-20,1000000.0
2014-03-21,1000000.0
2014-03-24,1000000.0
2014-03-25,1000000.0
2014-03-26,1000000.0
2014-03-27,1000000.0
2014-03-28,1000000.0
2014-03-31,1000000.0
2014-04-01,1000000.0
2014-04-02,1000000.0
2014-04-03,1000000.0
2014-04-04,1000000.0
2014-04-08,1000000.0
2014-04-09,1000746.8049999999
2014-04-10,1009464.8049999999
2014-04-11,1008336.8049999999
2014-04-14,1008636.8049999999
2014-04-15,999654.8049999999
2014-04-16,1000710.8049999999
2014-04-17,998841.8049999999
2014-04-18,998499.8049999999
2014-04-21,988923.8049999999
2014-04-22,991023.8049999999
2014-04-23,989082.8049999999
2014-04-24,986283.8050000002
2014-04-25,980130.8049999999
2014-04-28,978566.803
2014-04-29,978566.803
2014-04-30,978566.803
2014-05-05,978566.803
2014-05-06,978566.803
2014-05-07,978566.803
2014-05-08,978566.803
2014-05-09,978566.803
2014-05-12,978566.803
2014-05-13,978566.803
2014-05-14,978566.803
2014-05-15,978566.803
2014-05-16,978566.803
2014-05-19,978566.803
2014-05-20,978566.803
2014-05-21,978566.803
2014-05-22,978566.803
2014-05-23,978566.803
2014-05-26,978566.803
2014-05-27,978566.803
2014-05-28,978566.803
2014-05-29,978566.803
2014-05-30,978566.803
2014-06-03,978566.803
2014-06-04,978566.803
2014-06-05,978566.803
2014-06-06,978566.803
2014-06-09,978566.803
2014-06-10,978566.803
2014-06-11,978566.803
2014-06-12,978566.803
2014-06-13,978566.803
2014-06-16,978566.803
2014-06-17,978566.803
2014-06-18,978566.803
2014-06-19,978566.803
2014-06-20,978566.803
2014-06-23,978566.803
2014-06-24,978566.803
2014-06-25,978566.803
2014-06-26,978566.803
2014-06-27,978566.803
2014-06-30,978566.803
2014-07-01,978566.803
2014-07-02,978566.803
2014-07-03,978566.803
2014-07-04,978566.803
2014-07-07,978566.803
2014-07-08,978566.803
2014-07-09,978566.803
2014-07-10,978566.803
2014-07-11,978566.803
2014-07-14,978566.803
2014-07-15,978566.803
2014-07-16,978566.803
2014-07-17,978566.803
2014-07-18,978566.803
2014-07-21,978566.803
2014-07-22,978566.803
2014-07-23,978566.803
2014-07-24,978566.803
2014-07-25,978566.803
2014-07-28,978566.803
2014-07-29,979038.8709999999
2014-07-30,978258.8709999999
2014-07-31,986386.8709999999
2014-08-01,979882.871
2014-08-04,995094.8709999999
2014-08-05,993742.8709999998
